cuestionario;factor;zona;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_3;p7_3_1;p7_3_2;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p12_2;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_2;p24;p25;p25_1;p25_2;p25_3;p25_4;p26;p27;p27_1;p27_2;p27_3;p27_4;p27_5;p27_6;p27_7;p27_8;p27_9;p27_10;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
54;6.034.205.711;Ladera;Presencial en hogares;Masculino;Si;18;18 - 24 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar y estudiar;Empleado en empresa, gobierno u organización;De lunes a viernes;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 1;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;1;1;3;2;Moto 4T;;125 cc;;Gasolina corriente;;Modelos anteriores a 2005;No sabe/no responde;Conductor;Algunas veces;1;10;;;;;;Comuna 18;Cali;Comuna 18;;Tres;Menos de 1 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);El costo (sus posibilidades económicas o capacidad adquisitiva);;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Ser víctima de robo o atraco;;;;;;;;;;;;4;4;4;Muy importante;Nada Importante;Nada Importante;4;Nada Importante;Nada Importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Automóvil;;Bicitaxi sin motor;;Falta de infraestructura (andenes, ciclorutas, etc.);;3;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;3.386.115;-76.557.445;1.084.900.024;10.3
55;6.034.205.711;Ladera;Presencial en hogares;Masculino;Si;54;45 - 54 años;No;Si;Si;Si;Cauca;Buenos Aires;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Básica primaria incompleta;No;Trabajar;Empleado en empresa, gobierno u organización;Ningún día;;;;;;;;Sola(o);Estrato 1;Más de 500 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;1;2;Moto 4T;;125 cc;;Gasolina corriente;;2021;Cali;Conductor;Nunca;;30;;;;;;Comuna 18;Cali;Comuna 20;;Cuatro o más;Entre 4 y 7 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;El tiempo de espera;Multitud de personas;;;;;;;;;;;;2;3;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Construcciones y obras civiles o demoliciones;Alto;Automóvil;;Guala o pirata;;Inseguridad;;4;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;33.858.983;-765.564.533;1.084.900.024;9.2
56;4.182.531.444;Ladera;Presencial en hogares;Femenino;Si;55;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Indígena;Si;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 1;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;20;60;35;20;;Comuna 20;Cali;Comuna 3;;Uno;Entre 8 y 12 km;Ir a trabajar;;;Nada Satisfecho;Otro;;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Otro ¿Cuál?;;;;;;;;;;;Horarios amplios;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Muy alto;Automóvil;;Campero/ Camioneta (SUV);;Falta de información;;Muy importante;Muy importante;No;Si;Si;No;Si;No;No;No;;Otro;;No se acuerda;No tomó ninguna acción;;;Si;Mujer;No;34.257.168;-765.546.138;1.043.900.024;4.966
57;271.502.511;Ladera;Presencial en hogares;Femenino;Si;58;55 - 64 años;No;Si;Si;Si;Cauca;Caldono;;;Indígena;Si;Básica primaria completa;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;0;;1;1;Transporte público colectivo busetas;;;;;;;;;;;;10;10;30;5;;Comuna 20;Cali;Comuna 3;;Uno;Entre 4 y 7 km;Ir a trabajar;;;Totalmente satisfecho;La comodidad (confort);;;;;El tiempo de espera;Tiempos de espera largos o inciertos;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;4;4;Muy importante;4;4;Caminata;;Otra razón ¿Cuál?;A veces es muy largo el trayecto;Vertederos (basureros) y rellenos sanitarios;Moderado;Camión pesado;;Campero/ Camioneta (SUV);;Otro. ¿Cuál?;Pereza;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;34.258.065;-765.547.235;1.054.300.049;4.901
58;271.502.511;Ladera;Presencial en hogares;Femenino;Si;25;25 - 34 años;No;Si;Si;No;;;Venezuela;;Ninguna de las anteriores;No;Secundaria completa;No;Otra actividad;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;0;;2;1;Moto 4T;;No sabe / No responde;;No sabe/no responde;;2025;Cali;Acompañante (pasajero o parrilero);Algunas veces;2;20;;;;;;Comuna 20;Cali;Comuna 20;;Uno;Entre 1 y 3 km;A acompañar o llevar a alguien;Un adolescente/jóven;Asistir a un centro educativo (colegio, jardín infantil);Muy Satisfecho;La comodidad (confort);;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Congestión de tráfico;;;;;;;;;;;;2;Muy importante;Muy importante;Muy importante;4;Muy importante;3;Muy importante;Muy importante;Automóvil;;Costos asociados;;No sabe /no responde;Moderado;Moto 2T;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Muy importante;Si;Si;Si;Si;Si;Si;No;No;;En los paraderos o estaciones;;;Tomó la decisión de no volver a usar ese modo de transporte;;;Si;Mujer;No;34.255.934;-765.546.361;1.050.299.316;4.937
59;6.034.205.711;Ladera;Presencial en hogares;Masculino;Si;76;65 - 80 años;No;Si;Si;Si;Cauca;Popayán;;;Indígena;Si;Secundaria incompleta;Si;Trabajar;Trabajador independiente o por cuenta propia;Martes;Domingo;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Menos de 100 mil pesos;Si;Un hombre de la familia que vive con usted;Ninguna dificultad;;;Sí, auto y motocicleta;Si, motocicleta;0;;0;;Bicicleta;;;;;;;;;;;30;;;;;;Comuna 18;Cali;Comuna 2;;Cuatro o más;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);El tiempo de viaje;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;Costos altos;;;;;;;;;;;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;Bicicleta;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Nulo;Mio Cable;;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy importante;Nada Importante;Si;Si;No;Si;Si;No;No;No;;En los paraderos o estaciones;;;No tomó ninguna acción;;;Si;Hombre;No;33.861.957;-765.567.124;1021.5;4.419
60;271.502.511;Ladera;Presencial en hogares;Femenino;Si;36;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;1;2;Moto 4T;;150 cc;;Gasolina corriente;;2022;Cali;Conductor;Algunas veces;1;15;;;;;;Comuna 18;Cali;Comuna 17;;Tres;Entre 4 y 7 km;A acompañar o llevar a alguien;Un adolescente/jóven;Asistir a un centro educativo (colegio, jardín infantil);Totalmente satisfecho;La comodidad (confort);La distancia que debe recorrer;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;Tiempos de espera largos o inciertos;;;;;;;;;;;Muy importante;Muy importante;4;Muy importante;3;3;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Alto;Mio Cable;;Automóvil;;Inseguridad;;Nada Importante;3;No;Si;No;Si;Si;No;Si;No;;En los paraderos o estaciones;;;No tomó ninguna acción;;;Si;Mujer;No;33.909.225;-7.655.512;1.003.599.976;4.714
61;6.034.205.711;Ladera;Presencial en hogares;Masculino;Si;62;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Indígena;No;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;Lunes;Miércoles;;;;;;;Con su pareja;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;1;2;Moto 4T;;125 cc;;Gasolina corriente;;2016;Cali;Conductor;Siempre;1;30;;;;;;Comuna 18;Cali;Comuna 3;;Uno;Más de 12 km;A realizar compras;;;Muy Satisfecho;El tiempo de viaje;;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de espera largos o inciertos;Congestión de tráfico;;;;;;;;;;;4;Muy importante;Muy importante;4;4;2;2;Nada Importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Nulo;Mio Cable;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;33.907.719;-765.556.146;1.003.799.988;4.397
62;2.595.531.604;Ladera;Presencial en hogares;Masculino;Si;71;65 - 80 años;No;Si;Si;Si;Caldas;La Merced;;;Ninguna de las anteriores;Si;Básica primaria completa;No;Está desempleado;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Menos de 100 mil pesos;No;;Dificultad temporal para moverse;;;No;No;0;;0;;Bicicleta;;;;;;;;;;;60;;;;;;Comuna 20;Cali;Comuna 20;;Uno;Más de 12 km;Ir a trabajar;;;Totalmente satisfecho;La percepción de seguridad;;;;;El tiempo de espera;Ser víctima de robo o atraco;Ser víctima de situaciones de discriminación;;;;;;;;;;;Nada Importante;3;Nada Importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Bicicleta;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Transporte público colectivo busetas;;Moto 2T;;Falta de información;;Nada Importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.245.916;-765.536.916;1.045.199.951;4.9
63;271.502.511;Ladera;Presencial en hogares;Femenino;Si;61;55 - 64 años;No;Si;Si;Si;Nariño;Buesaco;;;Ninguna de las anteriores;Si;Básica primaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Menos de 100 mil pesos;Si;Usted;Ninguna dificultad;;;No;No;1;1;1;1;Taxi;;;;;;;;;;;30;;;;;;Comuna 18;Cali;Comuna 9;;Uno;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Totalmente satisfecho;Condiciones de salud propias o de un familiar;;;;;Nada me disgusta;Ser víctima de robo o atraco;Ser víctima de situaciones de acoso o violencia;;;;;;;;;;;Muy importante;Muy importante;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Taxi;;Es el medio de transporte que utiliza;;Uso de aerosoles y productos químicos;Alto;Camión pesado;;Campero/ Camioneta (SUV);;Inseguridad;;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;3.390.846;-765.545.941;1014.5;4.7
64;6.424.144.699;Ladera;Presencial en hogares;Masculino;Si;72;65 - 80 años;No;Si;Si;Si;Valle;Cali;;;Indígena;No;Secundaria incompleta;No;Es pensionado(a);;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 4;Entre 100 y 300 mil pesos;Si;Usted;Ninguna dificultad;;;Sí, auto;Si, auto;0;;0;;Taxi;;;;;;;;;;;6;;;;;;Comuna 18;Cali;Comuna 22;;Uno;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;La percepción de seguridad;;;;;Nada me disgusta;Congestión de tráfico;;;;;;;;;;;;4;4;4;4;Muy importante;Muy importante;Muy importante;3;Muy importante;Taxi;;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Moderado;Moto 2T;;Automóvil;;Otro. ¿Cuál?;Falta de vías adecuadas;3;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;33.874.887;-765.487.456;1005.5;10.1
65;7.694.854.639;Ladera;Presencial en hogares;Femenino;Si;73;65 - 80 años;No;Si;Si;Si;Cauca;Balboa;;;Ninguna de las anteriores;Si;Técnico profesional;Si;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Con sus hijos y otros familiares;Estrato 4;Menos de 100 mil pesos;Si;Usted;Ninguna dificultad;;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;15;10;15;1;;Comuna 18;Cali;Comuna 10;;No salgo del hogar con frecuencia;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Totalmente satisfecho;La percepción de seguridad;La comodidad (confort);;;;Nada me disgusta;Otro ¿Cuál?;;;;;;;;;;;Ninguno;Muy importante;Nada Importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Transporte público (MIO);;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Moderado;Mio Cable;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;3.387.336;-765.489.812;955.9;5.9
66;3.626.675.743;Ladera;Presencial en hogares;Masculino;Si;18;18 - 24 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria completa;No;Estudiar;;;;;;;De lunes a viernes;;;Con otras personas que no son de su familia (amigos, compañeros);Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;1;1;2;1;Transporte público (MIO);;;;;;;;;;;;8;10;25;2;;Comuna 18;Cali;Comuna 22;;Dos;Entre 8 y 12 km;Ir a estudiar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Costos altos;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;Muy importante;4;4;Muy importante;4;4;4;3;4;Transporte público (MIO);;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Campero/ Camioneta (SUV);;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;3;3;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;33.923.472;-765.543.704;1368.9;12
67;2.595.531.604;Ladera;Presencial en hogares;Masculino;Si;20;18 - 24 años;No;Si;Si;Si;Cauca;Cauca;;;Ninguna de las anteriores;No;Ninguno;No;Trabajar y estudiar;Empleado(a) doméstico;Ningún día;;;;;;;;Sola(o);Estrato 3;Entre 100 y 300 mil pesos;No;;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;5;20;30;20;;Comuna 18;Cali;Comuna 1;;Tres;Menos de 1 km;Ir a trabajar;;;Nada Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de viaje;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;3;3;3;3;3;3;3;3;3;Automóvil;;Costos asociados;;Empresas manufactureras;Muy alto;Automóvil;;Automóvil;;Inseguridad;;2;2;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;33.894.617;-76.548.485;1005;90.5
68;9.326.800.378;Ladera;Presencial en hogares;Femenino;Si;25;25 - 34 años;No;Si;Si;Si;Valle;Jamundí;;;Indígena;No;Universitario;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a viernes;;;;;;;;Sola(o);Estrato 3;Más de 500 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;1;2;1;2;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina extra;;2022;Otro municipio;Conductor;Siempre;1;30;;;;;;Comuna 18;Cali;Comuna 2;;Dos;Más de 12 km;Ir a trabajar;;;Nada Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El costo de compra;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;3;3;3;3;4;4;3;4;4;Moto 4T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Alto;Automóvil;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;3;4;No sabe;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;33.892.454;-765.489.862;1016.9;6.65
69;3.626.675.743;Ladera;Presencial en hogares;Masculino;Si;31;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Patrón o empleador;Ningún día;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;1;2;1;2;Moto 4T;;150 cc;;Gasolina corriente;;2021;Otro municipio;Conductor;Algunas veces;1;20;;;;;;Comuna 18;Cali;Comuna 17;;No salgo del hogar con frecuencia;Entre 4 y 7 km;A realizar compras;;;Muy Satisfecho;El tiempo de viaje;;;;;Las condiciones de incomodidad;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;3;3;3;3;2;2;2;3;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Alto;Mio Cable;;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;3;3;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;3.390.461;-765.543.954;1.004.200.012;13.252
70;2.595.531.604;Ladera;Presencial en hogares;Masculino;Si;25;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Preescolar;No;Trabajar;Empleado(a) doméstico;De lunes a sábado;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2016;Cali;Conductor;Algunas veces;1;20;;;;;;Comuna 18;Cali;Comuna 10;;Tres;Entre 8 y 12 km;Ir a trabajar;;;Muy Satisfecho;El tiempo de viaje;;;;;No sabe/ No responde;Congestión de tráfico;;;;;;;;;;;;Muy importante;4;4;Muy importante;Muy importante;Muy importante;Muy importante;3;Nada Importante;Bicicleta;;Nivel de inseguridad;;Los vehículos que circulan en la ciudad;Moderado;Automóvil en plataforma (Ejemplo:Uber);;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;33.789.998;-765.604.975;0;64.1
71;2.595.531.604;Ladera;Presencial en hogares;Masculino;Si;56;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto;Si de auto y motocicleta;3;3;0;;Automóvil;Entre 2000 y 2499 cc;;;Gasolina corriente;;2022;Cali;Conductor;Algunas veces;2;45;;;;;;Comuna 18;Cali;Comuna 8;;Tres;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;El tiempo de viaje;;;;;El tiempo de viaje;Congestión de tráfico;;;;;;;;;;;;4;4;Muy importante;4;Muy importante;4;Nada Importante;Nada Importante;Nada Importante;Automóvil;;Tiempos de viaje o espera asociados;;Los vehículos que circulan en la ciudad;Moderado;Moto 4T;;Automóvil;;Inseguridad;;3;3;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;33.790.034;-765.605.002;0;56.1
72;2.595.531.604;Ladera;Presencial en hogares;Masculino;Si;42;35 - 44 años;No;Si;Si;Si;Caldas;Marquetalia;;;Ninguna de las anteriores;Si;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2016;Otro municipio;Conductor;Algunas veces;1;15;;;;;;Comuna 18;Cali;Comuna 10;;Uno;Entre 4 y 7 km;Ir a trabajar;;;Muy Satisfecho;Restricciones de circulación (Ejemplo: pico y placa);La comodidad (confort);;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;;;;;;;;;;4;4;3;Muy importante;2;2;Nada Importante;2;Nada Importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Automóvil;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;33.892.327;-765.489.066;1.004.899.963;4.679
73;2.595.531.604;Ladera;Presencial en hogares;Masculino;Si;66;65 - 80 años;No;Si;Si;Si;Caldas;Pitermo;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Sola(o);Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Bicicleta;;;;;;;;;;;10;;;;;;Comuna 18;Cali;Comuna 18;;Cuatro o más;Entre 1 y 3 km;Ir a trabajar;;;Totalmente satisfecho;La comodidad (confort);;;;;Nada me disgusta;Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Bicicleta;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Automóvil;;Transporte público colectivo busetas;;Condiciones climáticas;;Muy importante;Muy importante;No;No;No;No;Si;No;No;No;;Entre el paradero y la casa;;;No tomó ninguna acción;;;No;Hombre;No;33.883.946;-765.486.622;1.004.299.988;4.514
74;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;63;55 - 64 años;No;Si;Si;Si;Nariño;Charco;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Básica primaria incompleta;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con su pareja y otros familiares;Estrato 2;Menos de 100 mil pesos;Si;Usted;Dificultad temporal para moverse;;;No;No;0;;1;1;Transporte público colectivo busetas;;;;;;;;;;;;5;30;45;15;;Comuna 6;Cali;Otros;Tequendama;Cuatro o más;Entre 1 y 3 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;La comodidad (confort);;;;;La vulnerabilidad frente accidentes de tránsito;Tiempos de espera largos o inciertos;;;;;;;;;;;;4;2;Nada Importante;Muy importante;3;4;4;3;2;Transporte público (MIO);;Otra razón ¿Cuál?;Por ir de una estación a otra y muy lleno;Uso de aerosoles y productos químicos;Alto;Mio Cable;;Moto en plataforma (Ejemplo: Didi);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;Si;No;No;No;;Mientras caminaba;;;Otro;;Conectarse con Dios;No;Mujer;No;3.478.966;-764.857.771;968.988;1.017
75;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;77;65 - 80 años;No;Si;Si;Si;Valle;Tuluá;;;Ninguna de las anteriores;No;Básica primaria incompleta;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con su pareja y otros familiares;Estrato 2;Entre 100 y 300 mil pesos;No;;Dificultad temporal para moverse;;;No;No;1;1;1;1;Taxi;;;;;;;;;;;30;;;;;;Comuna 6;Cali;Comuna 6;;Uno;Menos de 1 km;A realizar compras;;;Muy Satisfecho;La comodidad (confort);;;;;La vulnerabilidad frente accidentes de tránsito;Otro ¿Cuál?;;;;;;;;;;;Ninguna;3;4;2;4;4;3;3;4;2;Taxi;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Mio Cable;;Transporte público colectivo busetas;;Inseguridad;;2;3;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;Si;34.790.745;-764.851.822;9.853.999.634;15
76;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;40;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);Ningún día;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;1;1;2;1;Moto 2T;;Menos de 125 cc;;Gasolina corriente;;2025;Cali;Acompañante (pasajero o parrilero);Siempre;1;10;;;;;;Comuna 6;Cali;Comuna 6;;No salgo del hogar con frecuencia;Más de 12 km;A realizar algún trámite personal;;;Poco Satisfecho;La comodidad (confort);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de espera largos o inciertos;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Otra razón ¿Cuál?;No tengo;Los vehículos que circulan en la ciudad;Bajo;Automóvil;;Campero/ Camioneta (SUV);;Costos altos;;Nada Importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;34.793.645;-764.855.296;999.213;15
