cuestionario;factor;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_2_5;p7_2_6;p7_3;p7_3_1;p7_3_2;p7_3_3;p7_3_4;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19_1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_1_1;p23_2;p23_2_1;p23_2_2;p23_2_3;p24;p25;p25_1;p26;p27;p27_1;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
68;4.382.978.934;Presencial en hogares;Femenino;Si;19;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Estudiar;;;;;;;;;De lunes a viernes;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;2;0;Metro;;;;;;;;;;;;5;5;15;15;;Medellín;Comuna 12 - La América;Medellín;No sabe. ¿A dónde se dirige?;Floresta;Tres;Entre 6 y 10 km;Ir a estudiar;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La distancia que debe recorrer;El tiempo de espera;Tiempos de viaje largos o inciertos;Multitud de personas;;4;3;4;4;3;3;2;4;2;Bicicleta;;Otra razón ¿Cuál?;No tengo bicicleta;Empresas manufactureras;Moderado;Automóviles particulares;;Bicicleta;;Otro;Comodidad y tiempo;Nada influyente;2;No;Si;Si;No;Si;No;No;No;;Mientras caminaba;En los paraderos o estaciones;;No tomó ninguna acción;;;Si;Mujer;No;62.601.416;-756.039.811;1529.5;4.928
69;4.382.978.934;Presencial en hogares;Femenino;Si;43;35 - 44 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Universitario;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;0;;Metro;;;;;;;;;;;;51;5;15;5;;Medellín;Comuna 12 - La América;Medellín;Comuna 11 - Laureles Estadio;;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Muy satisfecho;El tiempo de viaje;;Las condiciones de incomodidad;Multitud de personas;Tiempos de viaje largos o inciertos;;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;3;Muy importante;Muy importante;Bus, colectivo, busetas;;Tiempos de viaje o espera asociados;;Los vehículos que circulan en la ciudad;Muy alto;Bus, colectivo, busetas;;Metro;;Inseguridad;;3;3;No;No;No;Si;No;No;No;No;;En el metro;;;No tomó ninguna acción;;;Si;Mujer;No;626.024;-756.039.781;1529.5;11.478
70;5.231.180.208.000.000;Presencial en hogares;Masculino;Si;18;18 - 24 años;No;Si;Si;Si;Antioquia;Yarumal;;;Ninguna de las anteriores;Si;Secundaria completa;No;Estudiar;;;;;;;;;De lunes a viernes;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;0;;Bicicleta;;;;;;;;;;;30;;;;;;Medellín;Comuna 12 - La América;Medellín;Comuna 13 - San Javier;;Cuatro o más;Entre 6 y 10 km;Ir a estudiar;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;Otra razón;Otro;;Ninguno;Muy importante;Muy importante;4;Muy importante;Muy importante;Muy importante;Nada Importante;3;Muy importante;Moto 4T;;Costos asociados;;Uso de aerosoles y productos químicos;Nulo;Bus, colectivo, busetas;;Bicicleta;;Costos altos;;Nada influyente;Nada influyente;No;No;No;No;Si;No;No;No;;Mientras caminaba;;;Otro;;Correr;No;Hombre;No;62.605.005;-756.053.723;1.534.300.049;11.035
71;4.227.411.311.999.990;Presencial en hogares;Masculino;Si;18;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;0;;Moto 2T;;150 cc;;Gasolina corriente;;2017;Otro municipio del área metropolitana;Acompañante (pasajero o parrilero);Siempre;1;20;;;;;;Medellín;Comuna 12 - La América;Medellín;Comuna 1 - Popular;;Tres;Entre 11 y 15 km;Ir a trabajar;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;El tiempo de viaje;Tiempos de viaje largos o inciertos;;;3;4;Muy importante;Muy importante;2;4;2;Nada Importante;3;Moto 2T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Moderado;Bus, colectivo, busetas;;Otro;Carros automáticos;Costos altos;;4;4;No;No;No;No;No;No;Si;No;;En una buseta o colectivo;;;No tomó ninguna acción;;;No;Hombre;No;62.609.513;-756.056.149;1.533.400.024;8
72;5.312.946.788.999.990;Presencial en hogares;Femenino;Si;19;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;10;30;40;5;;Medellín;Comuna 12 - La América;Medellín;No sabe. ¿A dónde se dirige?;Santa Lucía;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Satisfecho;La distancia que debe recorrer;;Las condiciones de incomodidad;Multitud de personas;Congestión de tráfico;;Muy importante;4;Muy importante;Muy importante;4;3;2;4;Nada Importante;Automóvil;;Costos asociados;;Incineración de residuos;Moderado;Bus, colectivo, busetas;;Moto 4T;;Condiciones climáticas;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;62.609.262;-756.055.516;1.533.400.024;10.061
73;5.312.946.788.999.990;Presencial en hogares;Femenino;Si;30;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Universitario;Si;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;10;5;10;10;;Medellín;Comuna 12 - La América;Medellín;Comuna 12 - La América;;Cuatro o más;Más de 20 km;Ir a trabajar;;;;;;;Satisfecho;La distancia que debe recorrer;;Las condiciones de incomodidad;Tiempos de espera largos o inciertos;;;Muy importante;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;4;4;Bus, colectivo, busetas;;Costos asociados;;No sabe /no responde;Moderado;Bus, colectivo, busetas;;Metro;;Falta de información;;4;Muy influyente;No;No;No;Si;Si;No;No;No;;En el metro;;;No tomó ninguna acción;;;No;Mujer;No;62.605.127;-756.055.156;1.605.599.976;4.899
74;5.312.946.788.999.990;Presencial en hogares;Femenino;Si;32;25 - 34 años;No;Si;Si;Si;Antioquia;Chigorodó;;;Ninguna de las anteriores;No;Universitario;Si;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Sola(o);Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;10;10;10;5;;Medellín;Comuna 12 - La América;Medellín;Comuna 7 - Robledo;;Tres;Más de 20 km;Ir a trabajar;;;;;;;Muy satisfecho;El tiempo de viaje;;Las condiciones de incomodidad;Tiempos de espera largos o inciertos;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Automóvil;;Costos asociados;;Uso de aerosoles y productos químicos;Nulo;Bus, colectivo, busetas;;Bicicleta;;Otro;Todas;Nada influyente;Nada influyente;Si;Si;Si;Si;No;Si;No;No;;En el metro;En una buseta o colectivo;;Otro;;Lo confrontó;Si;Mujer;Si;62.607.581;-756.044.081;1.605.599.976;9.15
75;662.487.972;Presencial en hogares;Masculino;Si;34;25 - 34 años;No;Si;Si;No;;;Venezuela;;Ninguna de las anteriores;Si;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a domingo;;;;;;;;;;;;Sola(o);Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;No;0;;0;;Metro;;;;;;;;;;;;5;2;35;10;;Medellín;Comuna 4 - Aranjuez;Envigado;No sabe. ¿A dónde se dirige?;Envigado;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Muy satisfecho;La percepción de seguridad;El tiempo de viaje;La exposición a condiciones climáticas desfavorables (lluvia o calor);Exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de viaje largos o inciertos;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 2T;;Otra razón ¿Cuál?;Falta de recursos;Vertederos (basureros) y rellenos sanitarios;Bajo;Bus, colectivo, busetas;;Bicicleta;;Falta de información;;Muy influyente;Muy influyente;No;No;No;Si;No;No;No;No;;En el metro;;;Otro;;No tome ninguna accion;No;Hombre;No;6.276.021;-755.666.318;1.491.800.049;3.913
76;519.680.412;Presencial en hogares;Femenino;Si;18;18 - 24 años;No;Si;Si;Si;Sucre;San Onofre;;;Ninguna de las anteriores;No;Secundaria completa;No;Estudiar;;;;;;;;;Sábado;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Metro;;;;;;;;;;;;15;4;10;20;;Medellín;Comuna 4 - Aranjuez;Bello;No sabe. ¿A dónde se dirige?;Bello;Cuatro o más;Entre 11 y 15 km;Ir a estudiar;;;;;;;Satisfecho;La percepción de seguridad;;El tiempo de espera;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;Muy importante;Muy importante;3;Muy importante;4;4;3;4;4;Taxi;;Otra razón ¿Cuál?;Gasto más dinero;Uso de aerosoles y productos químicos;Moderado;Camión pesado;;Moto 2T;;Falta de infraestructura (andenes, ciclorutas, etc.);;3;Muy influyente;No;Si;No;No;No;No;No;No;;En una motocicleta;En el metro;;Avisó a alguna autoridad como la policia;Avisó a alguna autoridad como la policia;;Si;Mujer;No;62.791.382;-755.651.602;1.493.400.024;3.874
77;519.680.412;Presencial en hogares;Femenino;Si;52;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;Menos de 100 mil pesos;Si;Usted;Dificultad para ver, aún utilizando lentes;;No;No;0;;1;0;Bus, colectivo, buseta;;;;;;;;;;;;2;5;30;10;;Medellín;Comuna 4 - Aranjuez;Medellín;Comuna 10 - La Candelaria;;Uno;Entre 6 y 10 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La distancia que debe recorrer;Las condiciones de incomodidad;Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;3;4;Muy importante;Muy importante;Muy importante;4;2;Muy importante;Muy importante;Metro;;Otra razón ¿Cuál?;Cercanía;Los vehículos que circulan en la ciudad;Moderado;Otro;En general los carros;Metro;;Costos altos;;Muy influyente;Muy influyente;Si;No;No;Si;Si;No;No;No;;En el metro;;;Avisó a los guardas del sistema de transporte;Otro;Avise a la policía;Si;Mujer;No;62.782.398;-755.648.758;1.503.199.951;3.866
78;3.564.419.124;Presencial en hogares;Masculino;Si;23;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;Si;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;2;2;Más de 3;0;Automóvil;3000 cc o más;;;Diésel;;2011;Otro municipio del área metropolitana;Conductor;Algunas veces;2;30;;;;;;Medellín;Comuna 6 - Doce de Octubre;Envigado;Comuna 15 - Guayabal;;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Muy satisfecho;El tiempo de viaje;El costo (sus posibilidades económicas o capacidad adquisitiva);La vulnerabilidad frente accidentes de tránsito;Congestión de tráfico;;;4;4;Muy importante;3;4;3;Nada Importante;3;3;Moto 4T;;Costos asociados;;Empresas manufactureras;Alto;Bus, colectivo, busetas;;Bicicleta;;Falta de infraestructura (andenes, ciclorutas, etc.);;3;3;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;63.058.076;-755.841.446;1.877.400.024;12.659
79;3.564.419.124;Presencial en hogares;Masculino;Si;21;18 - 24 años;No;Si;Si;No;;;Venezuela;;Raizal del Archipiélago de San Andrés, Providencia y Santa Catalina;Si;Ninguno;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;;;;;Con su pareja;Estrato 1;Menos de 100 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;Sí, motocicleta;Si, motocicleta;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;5;10;30;10;;Medellín;Comuna 6 - Doce de Octubre;Medellín;Comuna 6 - Doce de Octubre;;Uno;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;La comodidad (confort);;El nivel de emisiones (contaminación);Costos altos;;;3;3;Muy importante;4;4;4;3;Muy importante;Muy importante;Moto 2T;;Costos asociados;;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Bicicleta;;Falta de infraestructura (andenes, ciclorutas, etc.);;4;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;63.053.114;-75.584.577;1.917.199.951;74.115
80;3.564.419.124;Presencial en hogares;Masculino;Si;34;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);Viernes;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;2;1;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2022;Medellín;Conductor;Algunas veces;1;45;;;;;;Medellín;Comuna 6 - Doce de Octubre;Medellín;Comuna 10 - La Candelaria;;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Satisfecho;La comodidad (confort);;La vulnerabilidad frente accidentes de tránsito;Tiempos de espera largos o inciertos;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Uso de aerosoles y productos químicos;Bajo;Bus, colectivo, busetas;;Moto 4T;;Costos altos;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;6.305.886;-755.842.025;1.878.099.976;15.699
81;519.680.412;Presencial en hogares;Femenino;Si;51;45 - 54 años;No;Si;Si;Si;Caldas;Florencia;;;Ninguna de las anteriores;Si;Ninguno;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;No;No;0;;2;0;Moto 2T;;No sabe / No responde;;Gasolina corriente;;No sabe / No responde - NO LEA;Medellín;Acompañante (pasajero o parrilero);Siempre;1;20;;;;;;Medellín;Comuna 4 - Aranjuez;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;A realizar algún trámite personal;;;;;;;Muy satisfecho;La comodidad (confort);La percepción de seguridad;Nada me disgusta;Multitud de personas;;;4;Muy importante;4;4;Muy importante;4;4;Muy importante;4;Moto 2T;;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Moderado;Bus, colectivo, busetas;;Bicicleta;;Falta de información;;4;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;6.280.491;-755.645.321;1.501.300.049;11.82
82;519.680.412;Presencial en hogares;Femenino;Si;66;65 - 80 años;No;Si;Si;Si;Antioquia;El Peñol;;;Ninguna de las anteriores;Si;Básica primaria completa;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Taxi;;;;;;;;;;;50;;;;;;Medellín;Comuna 4 - Aranjuez;Medellín;Comuna 10 - La Candelaria;;Uno;Entre 6 y 10 km;A realizar compras;;;;;;;Satisfecho;La comodidad (confort);El tiempo de viaje;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Congestión de tráfico;;;3;4;3;2;4;4;4;4;4;Taxi;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Automóviles, taxis;;Costos altos;;3;3;No;No;No;No;No;No;No;No;;;;;;;;No;Prefiere no responder;No;62.800.632;-75.564.388;1.511.199.951;11.477
83;4.742.019.168;Presencial en hogares;Masculino;Si;34;25 - 34 años;No;Si;Si;Si;Antioquia;Bolívar;;;Ninguna de las anteriores;No;Tecnológico;No;Trabajar y estudiar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;Más de 500 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;2;2;0;;Automóvil;Entre 2000 y 2499 cc;;;Gasolina corriente;;2018;Otro municipio por fuera del área metropolitana;Conductor;Nunca;;45;;;;;;Medellín;Comuna 4 - Aranjuez;Itagüí;Comuna 7 - Robledo;;Uno;Más de 20 km;Ir a trabajar;;;;;;;Muy satisfecho;La comodidad (confort);La autonomía o control sobre el viaje;El tiempo de espera;Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;4;3;3;3;Nada Importante;Nada Importante;Automóvil;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Metro;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;62.806.087;-755.638.447;1.520.300.049;4.721
84;4.780.720.129.999.990;Presencial en hogares;Femenino;Si;43;35 - 44 años;No;Si;Si;Si;Bogotá;Bogotá;;;Ninguna de las anteriores;No;Técnico profesional;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto;Si, auto;1;0;0;;Metro;;;;;;;;;;;;5;10;40;2;;Medellín;Comuna 4 - Aranjuez;Medellín;Comuna 10 - La Candelaria;;Uno;Entre 6 y 10 km;A realizar compras;;;;;;;Satisfecho;El tiempo de viaje;La comodidad (confort);Nada me disgusta;Tiempos de viaje largos o inciertos;;;4;4;4;4;3;3;Nada Importante;2;2;Automóvil;;Otra razón ¿Cuál?;Lo usa mi esposo;Los vehículos que circulan en la ciudad;Moderado;Camión pesado;;Bicicleta;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.731.709;-755.611.008;1508;11.726
85;4.780.720.129.999.990;Presencial en hogares;Femenino;Si;65;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;Si;Secundaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 3;Entre 100 y 300 mil pesos;Si;Un hombre de la familia que vive con usted;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);Dificultad temporal para moverse;No;No;0;;0;;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;30;;;;;;Medellín;Comuna 4 - Aranjuez;Bello;No sabe. ¿A dónde se dirige?;Bello;Uno;Entre 11 y 15 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;Condiciones de salud propias o de un familiar;La comodidad (confort);La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Tiempos de viaje largos o inciertos;;;4;3;Muy importante;4;4;3;3;4;4;Automóvil;;Otra razón ¿Cuál?;No tengo automóvil por factor económico;Uso de aerosoles y productos químicos;Moderado;Bus, colectivo, busetas;;Metro;;Inseguridad;;4;Muy influyente;Si;No;No;No;No;No;No;No;;Otro;;Mientras esperaba el uber;No tomó ninguna acción;;;No;Mujer;No;62.726.127;-755.607.468;1507.5;19.381
86;519.680.412;Presencial en hogares;Femenino;Si;46;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria incompleta;Si;Está desempleado;;;;;;;;;;;;;;Sola(o);Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;30;;;;;;Medellín;Comuna 4 - Aranjuez;Otro municipio;No sabe. ¿A dónde se dirige?;Bello;Cuatro o más;Entre 6 y 10 km;Ir a trabajar;;;;;;;Muy satisfecho;El tiempo de viaje;Otro;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;3;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Otra razón ¿Cuál?;Es el transporte que uso, mi medio de transporte ideal... Moto;Los vehículos que circulan en la ciudad;Alto;Otro;Todos los medios de transporte son para mi contaminantes.;Bicicleta;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;Si;No;No;No;No;;En un bus de transporte intermunicipal;;;Otro;;No tomó ninguna acción;No;Mujer;No;62.804.721;-755.644.932;1.497.900.024;3.82
87;4.742.019.168;Presencial en hogares;Masculino;Si;58;55 - 64 años;No;Si;Si;Si;Antioquia;Abejorral;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Básica primaria completa;Si;Otra actividad;;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto;Si, auto;1;1;0;;Automóvil;Menos de 1000 cc;;;Gasolina corriente;;Modelos anteriores a 2005;Otro municipio por fuera del área metropolitana;Conductor;Algunas veces;3;10;;;;;;Medellín;Comuna 4 - Aranjuez;Caldas;Comuna 2 - Santa Cruz;;Uno;Menos de 5 km;Ir a trabajar;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;Otra razón;Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;Muy importante;Automóvil;;Otra razón ¿Cuál?;Uso el medio de transporte ideal, automóvil;Empresas manufactureras;Moderado;Moto 2T particular;;Bicicleta eléctrica;;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.799.493;-755.644.472;1.512.199.951;7.342
88;4.742.019.168;Presencial en hogares;Masculino;Si;27;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;0;;Metro;;;;;;;;;;;;15;5;10;5;;Medellín;Comuna 4 - Aranjuez;Bello;No sabe. ¿A dónde se dirige?;Bello;Uno;Entre 6 y 10 km;Ir a trabajar;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La distancia que debe recorrer;Nada me disgusta;Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;3;3;3;Automóvil;;Otra razón ¿Cuál?;Porque no tengo capacidad económica;Incineración de residuos;Moderado;Bus, colectivo, busetas;;Bicicleta;;Inclinación del terreno;;Nada influyente;3;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;6.280.542;-755.641.975;1.513.199.951;7.539
89;4.742.019.168;Presencial en hogares;Masculino;Si;50;45 - 54 años;No;Si;Si;Si;Guajira;Riohacha;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;Si;Trabajar;Trabajador independiente o por cuenta propia;Sábado;;;;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 2;Menos de 100 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;Sí, motocicleta;No;0;;1;0;Bus, colectivo, buseta;;;;;;;;;;;;10;5;25;15;;Medellín;Comuna 4 - Aranjuez;Medellín;Comuna 10 - La Candelaria;;Dos;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;El tiempo de viaje;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Multitud de personas;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Otra razón ¿Cuál?;Porque no tengo moto;Construcciones y obras civiles o demoliciones;Moderado;Bus, colectivo, busetas;;Metro;;Condiciones climáticas;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.805.916;-755.640.338;1.514.599.976;4.6
